index,label
511,0
843,0
628,0
146,0
675,0
845,0
545,0
600,0
19,1
577,0
292,0
85,0
770,0
508,0
657,1
721,0
40,0
679,0
832,0
730,0
506,0
110,0
172,0
128,0
496,0
651,0
68,0
741,0
788,0
776,0
339,0
203,0
654,0
331,1
423,0
25,0
30,0
692,0
181,0
655,0
639,0
838,0
846,0
620,0
638,0
641,0
568,0
492,0
750,0
230,0
811,0
660,0
812,0
515,0
867,0
866,0
390,1
684,0
206,0
48,1
327,0
323,0
879,0
191,0
346,0
343,0
546,0
78,0
95,0
595,0
350,0
720,1
245,0
717,0
519,0
787,0
629,1
315,0
522,0
516,0
767,0
777,0
871,0
581,0
217,0
4,0
189,1
170,0
541,0
195,0
58,0
14,0
820,0
594,0
486,0
347,0
830,0
414,0
362,0
701,0
622,0
630,0
863,0
450,0
703,0
709,0
76,0
161,0
194,0
666,0
5,0
498,0
429,0
765,0
276,0
251,0
818,0
504,0
303,0
565,0
708,0
178,0
205,0
182,0
712,0
826,0
458,0
351,0
857,0
605,0
127,0
449,0
413,0
269,0
42,0
873,0
106,0
737,0
254,0
768,0
738,0
82,0
371,0
227,0
357,0
569,0
485,0
725,0
662,0
109,0
261,0
591,0
665,0
809,0
21,0
154,0
609,0
494,0
137,0
188,0
739,0
695,0
294,0
10,0
418,0
769,0
372,0
548,0
686,0
681,0
279,0
875,0
75,0
356,0
734,0
63,0
130,0
444,0
753,0
816,0
606,0
878,0
567,0
798,0
379,0
3,0
588,0
480,0
53,0
60,0
220,0
456,0
9,0
243,0
578,0
299,0
890,0
328,0
785,0
295,0
316,0
200,0
320,0
696,0
216,0
248,0
618,0
837,0
71,0
682,0
168,0
100,0
393,0
386,0
415,0
683,0
587,0
13,0
872,0
133,0
147,0
754,0
678,0
131,0
575,0
333,0
344,0
367,0
120,0
635,0
585,0
219,0
614,1
551,0
714,0
501,0
535,0
134,0
854,0
745,0
677,0
455,0
31,0
419,0
136,0
471,0
22,0
563,0
440,0
664,0
781,0
126,0
411,0
311,1
139,0
689,0
632,0
700,0
487,0
868,0
403,0
104,0
590,0
615,0
637,0
531,0
602,0
288,0
263,0
381,0
240,0
326,0
260,0
560,0
801,0
550,1
114,0
26,0
83,0
670,0
329,1
540,0
573,0
495,0
761,0
593,0
672,0
489,0
646,0
116,0
291,0
554,0
849,0
185,0
475,0
142,0
265,0
527,0
437,0
488,0
165,0
454,0
199,0
571,0
688,1
112,0
7,1
186,0
755,0
645,0
462,0
719,0
384,0
138,0
364,0
171,0
869,1
324,0
433,0
852,0
718,1
886,0
466,0
616,0
407,0
478,0
179,1
6,0
141,1
86,0
335,0
586,0
39,0
322,1
374,0
803,0
731,0
840,0
597,0
149,0
238,0
234,0
51,0
685,0
355,0
626,1
697,0
876,0
148,0
312,0
221,0
317,0
822,0
807,0
824,0
553,0
802,0
358,0
84,0
520,0
877,0
748,0
310,0
491,0
368,0
258,0
204,1
259,0
524,0
222,0
45,0
656,0
235,0
382,0
17,1
52,0
166,0
246,0
482,0
12,0
566,0
365,0
484,0
643,0
744,0
669,0
773,0
800,0
690,0
884,0
864,0
305,0
38,0
479,0
559,0
887,0
579,0
889,1
97,0
853,0
157,0
446,0
580,1
687,0
287,0
557,0
789,0
859,0
193,0
421,0
66,0
780,0
625,0
543,0
169,0
399,0
233,0
153,0
870,0
61,0
422,0
740,0
225,0
460,0
103,0
532,0
839,0
865,0
760,0
396,0
152,0
50,0
790,0
772,0
623,0
72,0
445,0
43,0
810,0
499,0
231,0
469,0
174,0
604,0
673,1
771,0
239,0
470,1
627,0
892,0
391,0
32,0
842,0
105,0
716,1
680,0
211,0
201,0
255,0
405,0
397,0
62,0
338,0
821,0
336,0
436,0
11,0
123,0
332,0
517,0
774,0
793,0
55,0
400,0
874,0
321,0
59,0
307,0
547,0
164,0
197,0
162,0
107,1
663,0
797,0
285,1
764,0
804,0
448,0
533,0
192,0
296,0
817,1
49,0
155,0
855,0
94,0
888,0
624,0
313,0
538,0
784,0
87,0
228,0
583,0
434,0
91,0
65,0
453,0
409,0
619,0
512,0
633,0
173,0
215,0
79,0
298,0
73,0
252,0
377,0
352,0
283,0
791,0
441,0
493,0
380,0
135,0
848,0
505,0
570,0
404,0
823,0
237,1
132,0
118,0
361,0
599,1
278,0
647,0
268,0
101,0
640,1
36,0
529,0
223,0
314,0
555,0
815,0
707,1
160,0
674,0
799,0
144,0
424,0
431,0
257,0
417,0
348,0
242,0
691,0
15,0
762,0
47,0
704,0
806,0
250,0
44,0
69,0
474,0
795,0
102,0
77,0
661,0
375,0
244,0
256,0
825,0
735,0
891,0
383,0
113,0
636,0
306,0
140,0
473,0
584,1
99,0
856,0
572,0
28,0
196,0
621,0
880,0
523,0
794,0
592,0
783,0
544,1
249,0
742,0
427,0
272,0
376,0
756,0
90,0
318,0
778,0
617,1
860,0
117,0
366,0
452,0
589,0
210,0
281,1
96,0
0,0
300,0
667,0
121,0
596,0
642,0
796,0
699,0
723,0
858,0
2,0
271,0
111,0
18,0
129,0
509,0
289,0
280,0
209,0
198,0
388,0
693,0
882,0
282,0
218,0
746,0
702,0
67,0
325,0
786,0
247,0
782,0
610,0
385,0
412,0
611,0
420,1
176,0
844,0
88,1
464,0
304,0
308,0
37,0
92,0
747,0
649,0
267,0
850,0
743,0
542,0
582,0
29,0
340,1
277,0
841,0
883,0
736,0
724,0
337,0
359,0
163,0
851,0
8,0
27,0
861,0
552,0
167,0
1,0
64,0
438,0
175,0
766,0
729,0
224,0
525,0
536,0
775,0
425,0
459,0
598,0
151,0
671,0
264,0
510,1
150,0
476,0
539,1
722,0
528,0
395,0
34,0
468,0
451,0
262,0
808,0
833,1
98,0
829,0
426,0
334,0
711,0
156,0
253,0
576,0
416,0
521,0
727,0
705,0
457,0
373,0
613,0
562,0
676,0
834,0
472,0
612,0
16,0
483,0
177,0
461,1
503,1
556,0
89,0
659,0
122,0
74,0
732,0
507,0
57,0
408,0
757,0
443,0
402,0
354,0
490,0
56,0
369,0
410,0
360,0
353,0
835,0
518,0
286,0
119,0
658,1
275,0
631,1
763,1
41,0
836,0
229,0
274,0
549,0
81,0
226,0
33,0
208,0
751,0
733,0
363,0
759,0
465,0
694,0
500,1
70,0
284,0
530,0
80,0
349,0
435,0
698,0
309,0
190,0
758,0
290,0
406,0
819,0
398,0
266,0
297,0
442,0
652,0
710,0
432,1
634,1
881,0
648,0
514,0
713,0
862,0
187,0
828,0
534,0
207,0
608,0
24,0
706,0
302,0
370,0
497,0
653,0
526,0
213,1
439,0
430,0
212,0
537,0
184,0
463,1
159,0
46,0
558,0
124,0
345,0
447,0
108,0
232,0
668,0
513,0
726,0
792,0
236,0
125,0
401,0
847,0
394,0
23,0
158,0
330,0
805,0
752,0
749,0
481,1
387,0
601,0
477,0
301,0
389,0
650,0
502,0
214,0
342,0
378,0
827,0
644,0
54,0
145,0
293,0
885,0
273,0
428,0
715,0
143,0
574,0
813,0
564,0
319,0
607,0
270,0
728,0
392,0
115,0
180,0
831,0
341,0
779,0
35,0
467,0
241,0
93,0
202,1
814,0
20,0
183,0
603,0
561,0
