1,"[70937, 51259, 14970, 20685]"
4,[70937]
5,"[71255, 29012, 48785]"
6,"[36666, 2185, 21365]"
7,"[62009, 77058, 69243, 65738, 50612, 58704, 64439, 5120, 15227, 13895, 74490, 28907, 67587, 63927, 7, 18101, 74208, 29321, 39979, 64921, 16166, 61923, 50931, 7072, 48966, 19625, 59740, 12638, 14421, 60667, 54647, 465, 59465, 53031, 75161, 2019, 3195, 49941, 42955, 62840, 15724, 50927, 55310, 56021, 37816, 44282, 61326, 6960, 47216, 77584, 960, 66491, 70448, 67678, 19136, 57458, 6371, 29715, 16857, 8954, 34581, 9349, 66620, 74897, 33254, 69207, 7197]"
8,[70937]
9,"[6763, 52507, 53004, 14753, 40601, 49276, 51786, 10046, 13169, 64680, 1547, 9894, 46234, 27275, 50332, 54397, 13214, 19091, 24506]"
10,[44020]
11,[70937]
12,"[34548, 24293, 29705, 1466, 77334, 37936, 48417, 6674, 56018, 10302, 74832]"
13,"[55185, 13, 1066]"
14,[10193]
15,[68087]
17,"[4504, 70937]"
18,"[73464, 69035, 1438]"
19,"[47216, 70937]"
20,[70937]
21,"[42069, 8394, 28996]"
23,"[19826, 70937]"
24,[70937]
25,[70937]
26,"[7032, 19136, 24016]"
27,[55300]
28,"[70937, 14219]"
29,[70937]
30,"[31005, 65299]"
31,[56147]
32,[70937]
33,"[71887, 31748, 37443, 70937]"
34,"[20434, 48726]"
35,[70937]
37,[55830]
38,[12423]
39,[70937]
41,[70937]
42,"[42, 17659, 37020, 67394, 28202, 69554, 61655, 42965]"
43,[70937]
45,"[25818, 37417, 64502, 2969, 61756, 13377, 2015, 10193, 13704, 75222]"
46,[70937]
47,"[69500, 4745, 15532, 63389, 69334, 16611, 63249, 42590, 26638, 1348, 11143, 19091, 47093, 65957, 75222, 37463, 71496, 27262, 29925, 62931, 54397, 9894, 48894, 71764, 37859, 14753, 62890, 17565, 20408, 6927, 67823, 54539, 56835, 59043, 1547, 13014, 34746, 43878, 72595, 3593, 63205, 18441, 23276, 32158, 55091, 13093, 53077, 76245, 44170, 19986, 73544, 52507, 65143, 43442, 9281]"
48,"[70182, 62683, 71073, 52990, 36146, 69207, 64108, 66748, 16611, 65049, 1382, 15674, 4037, 75119, 20852, 20329, 38598, 20628, 10520, 73929, 27053, 29990, 18328, 63041, 3449, 41344, 16255, 37066, 43014, 63882, 39998, 50086, 31806, 25327, 20608, 64966, 56401, 35366, 34299, 16827, 56867, 62045, 69364, 66311, 75476, 48, 990, 46206, 61443, 43258]"
49,[70937]
50,"[77501, 2185, 75781]"
51,"[58560, 60468, 579]"
52,[31094]
53,[70937]
55,"[70937, 71073]"
56,[21481]
57,"[70937, 3623, 42069]"
58,[27949]
59,"[66766, 70937]"
60,"[70937, 64456]"
61,"[49221, 53456, 61826, 60939, 68556, 13911, 151]"
62,"[16827, 70937, 62688]"
64,"[69271, 40343]"
66,"[50669, 70937]"
67,[70937]
69,[71841]
70,"[45096, 38374, 2935, 54081]"
71,[70937]
