1,[1]
3,[3]
4,[4]
5,[5]
6,[6]
7,[7]
8,"[16219, 3471, 13054]"
9,[9]
10,[10]
12,[12]
13,[13]
14,[14]
16,[16]
17,"[4942, 10686, 4840, 2176, 3148, 2645, 7396, 10478, 1018, 1825, 14361, 11993, 9743, 13120, 15642, 3608, 1259, 3430, 1998, 9301, 4158, 2780, 9647, 15483, 6652, 9662, 8397, 7297, 6047, 12038, 2921, 10519, 16360, 10624, 193, 1936, 5520, 4768, 15820, 1504, 7873, 8205, 16199, 6718, 2433, 10523, 6508, 5232, 5273, 4605, 10882, 627, 8708, 2774, 13507, 7813, 6671, 7660, 10105, 10674, 10401, 16454, 9348, 7365, 12163, 11165, 2463, 5442, 2223, 14051, 4192]"
18,[18]
19,[19]
20,[20]
22,"[1259, 5198, 6964, 4323, 15207, 22]"
23,"[11905, 6089, 23, 8006, 9261, 7177, 12722]"
24,[24]
25,[25]
26,"[26, 10476]"
29,[29]
31,"[7295, 6011, 6473, 5718, 12022, 8334, 516, 9338, 11924, 6886, 16309, 8845, 1871, 14529, 8618, 8795, 1559, 14231, 7858, 2185, 10303, 15611, 7809, 13417, 13527, 12744, 8341, 344, 11843, 10414, 5691, 5713, 1861, 31, 10885, 16408, 1227, 1723, 13326, 13484, 4300]"
34,[34]
35,[15131]
38,[38]
39,[39]
40,"[7608, 40]"
41,[14305]
42,[42]
43,[43]
45,[12015]
47,[47]
48,[48]
50,[50]
51,[51]
55,[55]
56,[56]
57,[6695]
59,[9441]
60,"[2757, 4721, 11981, 281, 14793, 14871, 9493, 2510, 10795, 3365, 4500, 11364, 12652, 15391, 9279, 3234, 12216, 7846, 9798, 3148, 4334, 13241, 868, 10945, 5919, 1435, 6904, 3952, 2849, 7079, 9677, 7802, 11638, 2446, 11419, 8039, 5596, 2946, 13440, 867, 13706, 2547, 13429, 7946, 5451, 6371, 15554, 5178, 4857, 2467, 9272, 4554, 7305, 3876, 5073, 8260, 2766, 60, 1247, 8628, 11839]"
61,[3256]
62,[62]
63,[63]
65,[65]
67,"[67, 1711]"
69,[69]
70,[70]
71,[71]
72,[9322]
74,[74]
77,[11963]
78,[78]
82,[10171]
84,[84]
86,[86]
87,[87]
88,[88]
89,"[8455, 89, 4819]"
91,[91]
94,[94]
96,[96]
98,"[16673, 12984, 98, 14420]"
99,"[4236, 11715, 14893, 7491, 8372, 2894, 13350, 1694, 12645, 1869, 13299, 6040, 6769, 12665, 3431, 13813, 2149, 5612, 5581, 11078, 15988, 10452, 4495, 14507, 14550, 4528, 8649, 14879, 16481, 10670, 10550, 5334, 1389, 11820, 7503, 12433, 2150, 99, 15010, 6901, 8858, 11462, 12640]"
102,"[5584, 10954, 102]"
103,[103]
104,[104]
105,[105]
106,[106]
108,"[613, 108]"
110,[110]
113,[113]
114,[114]
115,[115]
117,[117]
118,"[1311, 6961, 8703, 14890, 3425, 5358, 3784, 740, 7518, 8752, 118, 4371, 11779, 15302, 6317, 12150, 3418, 16408, 14035, 7035, 1628, 2410, 3899, 7865, 2646]"
119,[119]
121,"[3895, 15010]"
122,[122]
124,[124]
126,[126]
128,"[128, 8030, 6772]"
129,[129]
130,[130]
134,[134]
135,"[4878, 3226, 135, 5074, 3871, 15958, 7268, 15644, 11031, 8658, 15000, 12496]"
136,[136]
139,"[2166, 9568, 4464, 4394, 3247, 6189, 12216, 15538, 1156, 15616, 11526, 14095, 1815, 7898, 14888, 4078, 4415, 7858, 7421, 3255, 683, 139, 8039, 13248, 5052, 483, 9833, 5861, 9048, 1359, 7737, 11883, 11360, 10151, 12210, 10864, 14552, 12802, 9837, 6371, 11861, 2772, 3678, 6211, 6855, 9272, 5713, 9044, 1930, 1324, 1802, 492, 12973, 4300, 12141, 15270]"
140,[140]
142,[142]
144,[144]
146,"[11372, 7829, 11677, 16222, 765, 9963, 2928, 15379, 146, 4300]"
147,[147]
153,[153]
156,[156]
158,[158]
159,[3522]
160,[160]
161,"[3450, 161, 2372]"
162,[162]
163,[163]
164,"[164, 15396]"
