maxime_daniel,0.17
jason,0.33
cameron.bateman,0.29
mlippert,0.18
nitind,0.13
pascal.rapicault,0.14
donald.smith,0.35
rsternberg,0.18
mtaal,0.33
konstantin.komissarchik,0.16
elias,0.21
bpayton,0.23
rcernich,0.2
clayberg,0.31
arunkumar.thondapu,0.38
danijoh2,1.0
remy.suen,0.14
donald.g.dunne,0.83
olaf,0.03
raghunathan.srinivasan,0.31
michael,0.88
jgarms,0.42
sam.davis,0.26
eyuen,0.38
pieter.humphrey,1.0
mukul.gandhi,0.64
zx,0.5
ryan.d.brooks,0.4
bbrodt,0.07
tfmorris,0.17
peter.friese,0.23
alex.blewitt,0.24
karsten.thoms,0.29
keithc,0.44
merks,0.67
wyan,0.19
robert.munteanu,0.71
bmacisaa,1.0
ebaron,0.3
c.keimel,1.0
twagner,1.0
luis,0.67
kilian.matt,0.5
jfaltermeier,0.08
bob,0.5
rafael,0.5
rgrunber,0.57
angelo.zerr,0.22
william.piers,1.0
richard.gronback,0.17
kopp.dev,0.21
denis.roy,0.11
hheitkoetter,0.71
ivan.inozemtsev,0.5
tcarroll,0.38
gandhi.mukul,1.0
tww,1.0
daniel_megert,0.06
cvgaviao,0.3
dejan,0.1
hmalphettes,0.23
hoffmann,0.71
ptrevithick,0.42
pwissel,0.58
naci.dai,0.33
webmaster,0.1
g.watson,0.15
me,0.38
sxenos,0.19
mn,0.5
eclipse,0.06
dev,0.29
vincent.hemery,0.33
maximilian,0.17
michael.keith,0.13
dmitry,0.5
caniszczyk,0.12
glongman,0.25
jesse.mcconnell,0.18
chris.guindon,0.25
jhkauf,0.33
Stephane.Drapeau,0.41
ian.skerrett,0.14
matthew.khouzam,0.17
antoine,0.18
moritz.eysholdt,0.23
a.demelt,0.15
aurelien.pupier,0.71
robert.wetzold,0.35
digulla,0.1
jonathan.musset,0.5
wim.jongman,0.15
sven,0.42
benjamin.muskalla,0.24
nickboldt,0.13
Sebastian.Zarnekow,0.24
rsanchez,0.48
ifedorenko,0.08
mikhailkhod,0.43
darius.jockel,0.5
serge,0.42
hstaudacher,0.2
tikhomirov.artem,0.38
pascal,0.1
scott,0.2
cole,1.0
christian.halstrick,0.5
lj,0.29
etienne.juliot,0.16
mail,0.81
djo,0.23
pawel.piech,1.0
mistria,0.05
chanskw,0.19
mickael.istria,0.13
rellermeyer,0.23
zsolt.beothy-elo,0.17
marc-andre.laperle,0.12
alex,0.31
hugo.bruneliere,0.12
sharon.corbett,0.24
dirk.fauth,0.32
alvsan09,0.23
darin.eclipse,0.22
daniel.stucky,0.42
sspeiche,0.5
pwebster,0.08
ed,0.1
david.green,0.18
jjohnstn,0.26
dwootton,0.17
xgu,1.0
konrad_w,0.33
bokowski,0.23
yves.yang,0.19
sebastien.dubois,0.46
aniefer,0.09
britta.varwig,0.23
benjamin,0.53
fbricon,0.17
irbull,0.14
adolfosbh,0.32
wmg040,0.13
christian.pontesegger,0.28
milesparker,0.16
jeffdouglas,0.4
milesg78,0.22
hskolwal,0.42
tristan.faure,0.33
kchong,0.4
torkildr,0.43
mheitz,0.14
bernd.hufmann,0.05
alexander.gurov,0.28
wli,1.0
rafsarifard,1.0
adrian,0.5
krum.tsvetkov,0.22
Darin_Swanson,0.1
juergen.schumacher,0.44
brian.vosburgh,0.19
kpqb38,0.4
kaloyan.r,0.12
misc,0.5
jbruck,0.33
pnehrer,0.27
ian,0.57
fwaibel,0.26
stephan,0.14
john,0.43
mikael,0.26
lufimtse,0.24
loskutov,0.19
ksebasti,1.0
give.a.damus,0.35
jan.sievers,0.21
nathan,0.21
steeg,0.33
kenneth.westelinck,1.0
jeffreyoverbey,1.0
tibbitts,1.0
neil.hauge,0.11
janb,0.48
gercan,0.33
andrei.ilitchev,0.5
igor,0.18
sw,1.0
camille.letavernier,0.32
robert_gallagher,1.0
joakim,0.42
arvera,0.21
reckord,0.19
