maxime_daniel,0.46
jason,0.65
cameron.bateman,0.66
mlippert,0.69
nitind,0.67
pascal.rapicault,0.7
gregory.amerson,0.78
donald.smith,0.63
rsternberg,0.59
mtaal,0.76
konstantin.komissarchik,0.52
elias,0.7
bpayton,0.72
rcernich,0.71
mqualizza,0.84
clayberg,0.72
arunkumar.thondapu,0.94
danijoh2,0.95
remy.suen,0.56
donald.g.dunne,0.78
lars.sonchocky-helldorf,0.99
olaf,0.81
hugo.bruneliere,0.52
koppdev,0.67
ryan,0.95
olibralo,0.73
sam.davis,0.68
akurtakov,0.78
eyuen,0.54
mukul.gandhi,0.49
zx,0.65
ryan.d.brooks,0.65
bbrodt,0.66
tfmorris,0.66
richard,0.76
alex.blewitt,0.72
karsten.thoms,0.71
keithc,1.0
maximilian,0.69
wyan,0.78
robert.munteanu,1.0
ken_walker,1.0
ebaron,0.64
c.keimel,0.84
cabernal,0.84
frederic.madiot,0.79
mrrussell,0.66
luis,0.64
vladislav.iliev,0.67
alexander.igdalov,0.57
kilian.matt,0.83
jfaltermeier,0.69
marc.strapetz,0.85
ricco.deutscher,0.71
rafael,0.98
rgrunber,0.7
angelo.zerr,0.77
william.piers,0.64
richard.gronback,0.74
jeffdouglas,0.99
kopp.dev,0.72
denis.roy,0.47
yannick7777,0.7
hheitkoetter,0.98
gerd,0.71
ivan.inozemtsev,0.82
gandhi.mukul,0.98
tww,0.72
daniel_megert,0.47
cvgaviao,0.82
dejan,0.63
hmalphettes,0.53
hoffmann,0.68
stevemash,0.69
vineet,0.76
kenn.hussey,0.69
ptrevithick,0.59
pwissel,0.99
naci.dai,0.72
jconlon,0.83
webmaster,0.55
g.watson,0.61
me,0.62
igor.vinnykov,0.72
sxenos,0.55
mn,0.84
eclipse,0.51
dev,0.77
vincent.hemery,0.82
merks,0.95
michael.keith,0.81
dmitry,0.84
caniszczyk,0.56
navid.mehregani,0.67
Steve_Northover,0.59
jesse.mcconnell,0.63
chris.guindon,0.65
jhkauf,0.64
a.demelt,0.86
hargrave,0.49
ian.skerrett,0.56
matthew.khouzam,0.68
antoine,0.52
moritz.eysholdt,0.71
Stephane.Drapeau,0.6
aurelien.pupier,0.72
benjamin.schwertfeger,0.88
robert.wetzold,0.82
digulla,0.82
jonathan.musset,0.66
wim.jongman,0.68
alcapcom,0.82
sven,0.8
benjamin.muskalla,0.56
nickboldt,0.58
malaperle,0.78
evanchsa,0.69
jsetya,0.71
Sebastian.Zarnekow,0.78
rsanchez,0.63
neufeld.eugen,0.69
mikhailkhod,0.71
darius.jockel,0.66
serge,0.53
hstaudacher,0.77
tikhomirov.artem,0.77
pascal,0.48
ekke,0.91
cole,0.72
laurent.redor,0.64
lzhu,0.96
lj,0.91
etienne.juliot,0.72
mail,0.82
vrubezhny,0.76
angelo.bernabei,0.59
pawel.piech,0.83
mistria,0.5
chanskw,0.77
mickael.istria,0.7
andrea.zoppello,0.89
rellermeyer,0.85
zsolt.beothy-elo,0.52
marc-andre.laperle,0.64
alex,0.64
tristan.faure,0.99
sharon.corbett,0.63
dirk.fauth,0.75
alvsan09,0.73
darin.eclipse,0.66
Kevin_McGuire,0.59
carlos,0.75
pwebster,0.57
ed,0.5
david.green,0.57
joerg.reichert,0.65
jjohnstn,0.74
dwootton,0.66
xgu,0.86
konrad_w,0.79
c.knobloch,0.75
bokowski,0.53
yves.yang,0.88
sebastien.dubois,0.66
robert,0.98
nan.n.li,0.74
aniefer,0.64
britta.varwig,0.82
benjamin,0.62
mat.booth,0.84
fbricon,0.78
irbull,0.46
adolfosbh,0.66
wmg040,0.69
milesparker,0.55
jmagnet,0.67
milesg78,0.84
hskolwal,0.84
torkildr,0.6
mheitz,0.72
bernd.hufmann,0.7
alexander.gurov,0.68
wli,0.64
rafsarifard,0.87
adrian,0.87
krum.tsvetkov,0.74
Darin_Swanson,0.68
juergen.schumacher,0.99
brian.vosburgh,0.69
kpqb38,0.71
tparker,0.69
matthias,0.62
kaloyan.r,0.58
eric.gwin,0.77
misc,0.79
jbruck,0.69
pnehrer,0.82
jonas.helming,0.74
mirco.dotta,0.8
christian.pontesegger,0.74
fwaibel,0.82
igor.novakovic,0.63
stephan,0.78
john,0.91
Sonia_Dimitrov,0.99
arvera,0.65
lufimtse,0.7
loskutov,0.68
ksebasti,0.79
give.a.damus,0.63
heapifyman,1.0
cmordant1,0.71
jan.sievers,0.45
nathan,0.54
snorthov,0.55
urs.frei,0.89
kenneth.westelinck,0.82
jeffreyoverbey,0.69
tibbitts,1.0
neil.hauge,0.48
janb,0.63
thirumala,0.81
marc.khouzam,0.76
igor,0.58
sw,0.95
camille.letavernier,0.5
robert_gallagher,0.75
joakim,0.81
mikael,0.71
reckord,0.65
ifedorenko,0.76
mik,0.64
kleung,0.83
anthonyh,0.5
florian,0.7
alex.panchenko,0.72
jkrause,0.7
overholt,0.63
christopher.delahunt,0.65
whe,0.78
Markus.Tiede,0.83
kai,0.69
mario,0.69
jgraham,0.86
bsd,0.56
Michael_Rennie,0.64
tracy,0.71
ymnk,0.5
sasa.zivkov,0.74
laurent.goubet,0.47
cedric.brun,0.64
peter.friese,0.65
francisu,0.63
igor.burilo,0.54
kutter,0.77
zeratul976,0.62
serg.boyko2011,0.68
thomas,0.54
anithra,0.58
andrew.ross,0.8
raghunathan.srinivasan,0.87
Mike_Wilson,0.64
hwellmann.de,0.98
fyaoxy,0.97
jeremy.lindop,1.0
balask,0.88
cedric.notot,0.68
jan,0.64
wayne,0.41
mauromol,0.99
dzonekl,0.71
elaskavaia.cdt,0.72
info,0.73
pmuldoon,0.82
akurtako,0.69
stephan.herrmann,0.56
l.kirchev,0.67
pierre-charles.david,0.69
mkhv73,0.87
jeromem,0.66
k.schmidt,0.8
carsten.pfeiffer,0.76
selsemore,0.82
alexander,0.69
jo.hiller,0.82
emo,0.59
mpiggott,0.78
markus.sabadello,0.87
roger,0.91
dkeysell,0.83
bruno.do.medeiros,0.76
pbenedict,0.71
daniel.stucky,0.99
steeg,0.87
julien,0.78
Kenn.Hussey,0.65
stephane.begaudeau,0.72
linuxhippy,0.89
gunnar,0.49
tmenzel,0.63
xavier.raynaud,0.73
paul,0.7
